n,h
1328,4295.178571428572
1329,4303.785714285715
1330,4303.785714285715
1331,4312.0
1332,4312.0
1333,4312.0
1334,4318.5
1335,4321.5
1336,4326.894736842105
1337,4326.894736842105
1338,4331.636363636364
1339,4335.0
1340,4344.928571428572
1341,4344.928571428572
1342,4353.888888888889
1343,4356.933333333333
1344,4356.933333333333
1345,4364.1
1346,4366.4
1347,4373.083333333333
1348,4378.5
1349,4379.772727272727
1350,4379.772727272727
1351,4379.772727272727
1352,4390.357142857143
1353,4390.357142857143
1354,4403.857142857143
1355,4406.888888888889
1356,4406.888888888889
1357,4408.538461538462
1358,4408.538461538462
1359,4414.333333333333
1360,4414.333333333333
1361,4414.333333333333
1362,4429.324324324324
1363,4429.324324324324
1364,4429.324324324324
1365,4429.324324324324
1366,4432.454545454545
1367,4443.0
1368,4443.0
1369,4444.0
1370,4449.333333333333
1371,4449.333333333333
1372,4453.625
1373,4455.4
1374,4469.0526315789475
1375,4469.0526315789475
1376,4470.714285714285
1377,4484.4
1378,4486.2307692307695
1379,4486.2307692307695
1380,4486.2307692307695
1381,4486.2307692307695
1382,4487.7
1383,4502.363636363636
1384,4502.363636363636
1385,4502.363636363636
1386,4511.416666666667
1387,4511.416666666667
1388,4511.416666666667
1389,4514.85
1390,4514.85
1391,4528.375
1392,4530.833333333333
1393,4539.722222222223
1394,4539.722222222223
1395,4539.722222222223
1396,4539.722222222223
1397,4546.285714285715
1398,4546.285714285715
1399,4550.857142857143
1400,4552.6
1401,4558.75
1402,4561.25
1403,4572.166666666667
1404,4576.4
1405,4579.714285714285
1406,4590.0344827586205
1407,4590.0344827586205
1408,4590.0344827586205
1409,4590.0344827586205
1410,4594.0
1411,4594.0
1412,4599.466666666666
1413,4599.466666666666
1414,4611.7692307692305
1415,4611.7692307692305
1416,4619.318181818182
1417,4619.318181818182
1418,4619.318181818182
1419,4619.318181818182
1420,4623.375
1421,4635.75
1422,4635.75
1423,4639.615384615385
1424,4642.307692307692
1425,4652.75
1426,4657.8
1427,4657.8
1428,4658.166666666667
1429,4665.266666666666
1430,4673.416666666667
1431,4673.416666666667
1432,4673.416666666667
1433,4673.416666666667
1434,4673.416666666667
1435,4678.0
1436,4695.818181818182
1437,4695.818181818182
1438,4695.818181818182
1439,4700.608695652174
1440,4700.608695652174
1441,4700.608695652174
1442,4711.75
1443,4711.75
1444,4711.75
1445,4717.571428571428
1446,4724.25
1447,4724.25
1448,4731.142857142857
1449,4735.736842105263
1450,4735.736842105263
1451,4738.888888888889
1452,4743.454545454545
1453,4743.454545454545
1454,4746.583333333333
1455,4748.5
1456,4760.75
1457,4771.928571428572
1458,4771.928571428572
1459,4771.928571428572
1460,4771.928571428572
1461,4779.0
1462,4780.571428571428
1463,4787.9473684210525
1464,4787.9473684210525
1465,4799.25
1466,4803.952380952381
1467,4803.952380952381
